Country,ISO3,Exports,Imports,Total Trade,Trade Balance,GDP
United States,USA,2941.12,2783.86,5724.97,157.26,28591.2
China,CHN,2872.81,2661.11,5533.92,211.7,19148.27
Germany,DEU,1859.13,1673.46,3532.59,185.67,4656.52
Japan,JPN,1159.32,1100.95,2260.27,58.37,4401.54
India,IND,1128.16,1009.8,2137.96,118.36,3821.04
South Korea,KOR,902.88,861.53,1764.4,41.35,1789.04
United Kingdom,GBR,801.25,961.32,1762.56,-160.07,3490.3
France,FRA,741.79,902.2,1643.98,-160.41,3166.35
Netherlands,NLD,691.5,840.58,1532.08,-149.08,1168.31
Canada,CAN,667.92,812.02,1479.94,-144.11,2236.3
Italy,ITA,639.4,774.61,1414.01,-135.21,2355.43
Australia,AUS,738.64,580.94,1319.58,157.7,1800.53
Mexico,MEX,591.05,713.36,1304.41,-122.31,1868.46
Singapore,SGP,539.21,648.88,1188.1,-109.67,523.54
United Arab Emirates,ARE,586.3,552.64,1138.94,33.66,526.68
Switzerland,CHE,511.78,621.1,1132.89,-109.32,923.78
Brazil,BRA,607.03,514.28,1121.31,92.74,2270.78
Saudi Arabia,SAU,555.99,484.84,1040.83,71.15,1115.01
Vietnam,VNM,523.77,487.48,1011.25,36.29,461.75
Spain,ESP,436.09,524.16,960.25,-88.07,1651.1
