Product,Exports,Imports,Total Trade,Trade Balance,Share %,YoY Growth %
Machinery & Electrical Equipment,2219.29,2212.64,4431.93,6.65,11.36,5.38
Electronics & Optical Products,2105.27,2106.1,4211.37,-0.84,10.8,7.13
Automotive & Transport Vehicles,2099.94,2106.47,4206.41,-6.53,10.78,5.34
Mineral Fuels & Petroleum,2026.34,2028.49,4054.83,-2.14,10.4,5.74
Agricultural & Food Products,2021.76,2028.29,4050.05,-6.52,10.38,7.4
Chemicals & Pharmaceuticals,1985.33,1969.67,3955.0,15.67,10.14,4.46
Textiles & Apparel,1933.21,1942.52,3875.73,-9.3,9.94,6.03
Metals & Metal Products,1863.89,1861.56,3725.45,2.34,9.55,5.06
Precision Instruments & Medical Devices,1622.19,1628.62,3250.82,-6.43,8.33,5.43
Plastics & Rubber,1617.89,1624.76,3242.65,-6.87,8.31,7.08
