country,iso_code,year,gdp
United States,USA,2018,22435.2
United States,USA,2019,23529.6
United States,USA,2020,22708.8
United States,USA,2021,25718.4
United States,USA,2022,26539.2
United States,USA,2023,27360.0
United States,USA,2024,28591.2
China,CHN,2018,13420.78
China,CHN,2019,14304.94
China,CHN,2020,14027.41
China,CHN,2021,16137.31
China,CHN,2022,16911.17
China,CHN,2023,18323.7
China,CHN,2024,19148.27
Germany,DEU,2018,3653.92
Germany,DEU,2019,3832.16
Germany,DEU,2020,3698.48
Germany,DEU,2021,4188.64
Germany,DEU,2022,4322.32
Germany,DEU,2023,4456.0
Germany,DEU,2024,4656.52
Japan,JPN,2018,3453.84
Japan,JPN,2019,3622.32
Japan,JPN,2020,3495.96
Japan,JPN,2021,3959.28
Japan,JPN,2022,4085.64
Japan,JPN,2023,4212.0
Japan,JPN,2024,4401.54
India,IND,2018,2678.12
India,IND,2019,2854.56
India,IND,2020,2799.18
India,IND,2021,3220.21
India,IND,2022,3374.63
India,IND,2023,3656.5
India,IND,2024,3821.04
United Kingdom,GBR,2018,2738.8
United Kingdom,GBR,2019,2872.4
United Kingdom,GBR,2020,2772.2
United Kingdom,GBR,2021,3139.6
United Kingdom,GBR,2022,3239.8
United Kingdom,GBR,2023,3340.0
United Kingdom,GBR,2024,3490.3
France,FRA,2018,2484.6
France,FRA,2019,2605.8
France,FRA,2020,2514.9
France,FRA,2021,2848.2
France,FRA,2022,2939.1
France,FRA,2023,3030.0
France,FRA,2024,3166.35
Italy,ITA,2018,1848.28
Italy,ITA,2019,1938.44
Italy,ITA,2020,1870.82
Italy,ITA,2021,2118.76
Italy,ITA,2022,2186.38
Italy,ITA,2023,2254.0
Italy,ITA,2024,2355.43
Brazil,BRA,2018,1781.86
Brazil,BRA,2019,1868.78
Brazil,BRA,2020,1803.59
Brazil,BRA,2021,2042.62
Brazil,BRA,2022,2107.81
Brazil,BRA,2023,2173.0
Brazil,BRA,2024,2270.78
Canada,CAN,2018,1754.8
Canada,CAN,2019,1840.4
Canada,CAN,2020,1776.2
Canada,CAN,2021,2011.6
Canada,CAN,2022,2075.8
Canada,CAN,2023,2140.0
Canada,CAN,2024,2236.3
South Korea,KOR,2018,1403.84
South Korea,KOR,2019,1472.32
South Korea,KOR,2020,1420.96
South Korea,KOR,2021,1609.28
South Korea,KOR,2022,1660.64
South Korea,KOR,2023,1712.0
South Korea,KOR,2024,1789.04
Australia,AUS,2018,1412.86
Australia,AUS,2019,1481.78
Australia,AUS,2020,1430.09
Australia,AUS,2021,1619.62
Australia,AUS,2022,1671.31
Australia,AUS,2023,1723.0
Australia,AUS,2024,1800.53
Mexico,MEX,2018,1466.16
Mexico,MEX,2019,1537.68
Mexico,MEX,2020,1484.04
Mexico,MEX,2021,1680.72
Mexico,MEX,2022,1734.36
Mexico,MEX,2023,1788.0
Mexico,MEX,2024,1868.46
Spain,ESP,2018,1295.6
Spain,ESP,2019,1358.8
Spain,ESP,2020,1311.4
Spain,ESP,2021,1485.2
Spain,ESP,2022,1532.6
Spain,ESP,2023,1580.0
Spain,ESP,2024,1651.1
Indonesia,IDN,2018,1034.28
Indonesia,IDN,2019,1102.42
Indonesia,IDN,2020,1081.03
Indonesia,IDN,2021,1243.63
Indonesia,IDN,2022,1303.27
Indonesia,IDN,2023,1412.13
Indonesia,IDN,2024,1475.68
Netherlands,NLD,2018,916.76
Netherlands,NLD,2019,961.48
Netherlands,NLD,2020,927.94
Netherlands,NLD,2021,1050.92
Netherlands,NLD,2022,1084.46
Netherlands,NLD,2023,1118.0
Netherlands,NLD,2024,1168.31
Saudi Arabia,SAU,2018,874.94
Saudi Arabia,SAU,2019,917.62
Saudi Arabia,SAU,2020,885.61
Saudi Arabia,SAU,2021,1002.98
Saudi Arabia,SAU,2022,1034.99
Saudi Arabia,SAU,2023,1067.0
Saudi Arabia,SAU,2024,1115.01
Switzerland,CHE,2018,724.88
Switzerland,CHE,2019,760.24
Switzerland,CHE,2020,733.72
Switzerland,CHE,2021,830.96
Switzerland,CHE,2022,857.48
Switzerland,CHE,2023,884.0
Switzerland,CHE,2024,923.78
Turkey,TUR,2018,908.56
Turkey,TUR,2019,952.88
Turkey,TUR,2020,919.64
Turkey,TUR,2021,1041.52
Turkey,TUR,2022,1074.76
Turkey,TUR,2023,1108.0
Turkey,TUR,2024,1157.86
Poland,POL,2018,665.02
Poland,POL,2019,697.46
Poland,POL,2020,673.13
Poland,POL,2021,762.34
Poland,POL,2022,786.67
Poland,POL,2023,811.0
Poland,POL,2024,847.49
Argentina,ARG,2018,524.8
Argentina,ARG,2019,550.4
Argentina,ARG,2020,531.2
Argentina,ARG,2021,601.6
Argentina,ARG,2022,620.8
Argentina,ARG,2023,640.0
Argentina,ARG,2024,668.8
Sweden,SWE,2018,486.26
