year,reporter,reporter_iso,partner,partner_iso,product,trade_flow,trade_value,currency
2018,United States,USA,China,CHN,Machinery & Electrical Equipment,Export,8.283,USD
2018,United States,USA,China,CHN,Machinery & Electrical Equipment,Import,11.504,USD
2018,United States,USA,China,CHN,Electronics & Optical Products,Export,5.606,USD
2018,United States,USA,China,CHN,Electronics & Optical Products,Import,11.731,USD
2018,United States,USA,China,CHN,Automotive & Transport Vehicles,Export,6.636,USD
2018,United States,USA,China,CHN,Automotive & Transport Vehicles,Import,4.424,USD
2018,United States,USA,China,CHN,Mineral Fuels & Petroleum,Export,4.223,USD
2018,United States,USA,China,CHN,Mineral Fuels & Petroleum,Import,5.881,USD
2018,United States,USA,China,CHN,Chemicals & Pharmaceuticals,Export,8.54,USD
2018,United States,USA,China,CHN,Chemicals & Pharmaceuticals,Import,5.557,USD
2018,United States,USA,China,CHN,Agricultural & Food Products,Export,7.463,USD
2018,United States,USA,China,CHN,Agricultural & Food Products,Import,6.094,USD
2018,United States,USA,China,CHN,Metals & Metal Products,Export,5.812,USD
2018,United States,USA,China,CHN,Metals & Metal Products,Import,4.54,USD
2018,United States,USA,China,CHN,Textiles & Apparel,Export,4.477,USD
2018,United States,USA,China,CHN,Textiles & Apparel,Import,8.065,USD
2018,United States,USA,China,CHN,Plastics & Rubber,Export,4.728,USD
2018,United States,USA,China,CHN,Plastics & Rubber,Import,5.181,USD
2018,United States,USA,China,CHN,Precision Instruments & Medical Devices,Export,4.99,USD
2018,United States,USA,China,CHN,Precision Instruments & Medical Devices,Import,4.702,USD
2018,United States,USA,Germany,DEU,Machinery & Electrical Equipment,Export,5.275,USD
2018,United States,USA,Germany,DEU,Machinery & Electrical Equipment,Import,5.338,USD
2018,United States,USA,Germany,DEU,Electronics & Optical Products,Export,2.723,USD
2018,United States,USA,Germany,DEU,Electronics & Optical Products,Import,2.811,USD
2018,United States,USA,Germany,DEU,Automotive & Transport Vehicles,Export,4.377,USD
2018,United States,USA,Germany,DEU,Automotive & Transport Vehicles,Import,7.941,USD
2018,United States,USA,Germany,DEU,Mineral Fuels & Petroleum,Export,2.613,USD
2018,United States,USA,Germany,DEU,Mineral Fuels & Petroleum,Import,2.987,USD
2018,United States,USA,Germany,DEU,Chemicals & Pharmaceuticals,Export,4.928,USD
2018,United States,USA,Germany,DEU,Chemicals & Pharmaceuticals,Import,4.376,USD
2018,United States,USA,Germany,DEU,Agricultural & Food Products,Export,5.576,USD
2018,United States,USA,Germany,DEU,Agricultural & Food Products,Import,2.579,USD
2018,United States,USA,Germany,DEU,Metals & Metal Products,Export,2.453,USD
2018,United States,USA,Germany,DEU,Metals & Metal Products,Import,3.503,USD
2018,United States,USA,Germany,DEU,Textiles & Apparel,Export,3.523,USD
2018,United States,USA,Germany,DEU,Textiles & Apparel,Import,3.336,USD
